BTC,bitcoin
ETH,ethereum
USDT,tether
BNB,binance-coin
USDC,usd-coin
XRP,xrp
ADA,cardano
MATIC,polygon
DOGE,dogecoin
SOL,sola-token
BUSD,binance-usd
DOT,polkadot
SHIB,shiba-inu
TRX,tron
LTC,litecoin
AVAX,avalanche
DAI,multi-collateral-dai
UNI,uniswap
WBTC,wrapped-bitcoin
LINK,chainlink
LEO,unus-sed-leo
ATOM,cosmos
ETC,ethereum-classic
OKB,okb
XMR,monero
BCH,bitcoin-cash
FIL,filecoin
XLM,stellar
LDO,lido-dao
TUSD,trueusd
NEAR,near-protocol
CRO,crypto-com-coin
VET,vechain
ICP,internet-computer
QNT,quant
ALGO,algorand
STX,stox
BTCB,bitcoin-bep2
GRT,the-graph
FTM,fantom
EOS,eos
CFX,conflux-network
MANA,decentraland
XTZ,tezos
AAVE,aave
FLOW,flow
THETA,theta
EGLD,elrond-egld
AXS,axie-infinity
SAND,the-sandbox
HBAR,hedera-hashgraph
NEO,neo
KCS,kucoin-token
USDP,paxos-standard
ZEC,zcash
CHZ,chiliz
RPL,rocket-pool
CRV,curve-dao-token
MINA,mina
KLAY,klaytn
BSV,bitcoin-sv
CAKE,pancakeswap
SNX,synthetix-network-token
MKR,maker
DASH,dash
HT,huobi-token
FXS,frax-share
AGIX,singularitynet
XEC,ecash
MIOTA,iota
GT,gatetoken
RNDR,render-token
TWT,trust-wallet-token
LRC,loopring
RUNE,thorchain-erc20
ZIL,zilliqa
KAVA,kava
FTT,farmatrust
1INCH,1inch
MASK,mask-network
ENJ,enjin-coin
DYDX,dydx
CVX,convex-finance
XDC,xinfin-network
CSPR,casper
BAT,basic-attention-token
XEM,nem
QTUM,qtum
WOO,wootrade
ROSE,oasis-network
NEXO,nexo
ANKR,ankr
FET,fetch
TFUEL,theta-fuel
RVN,ravencoin
COMP,compound
CELO,celo
HOT,hydro-protocol
GALA,gala
FEI,fei-protocol
BAL,balancer
OMG,omg
YFI,yearn-finance
CDT,blox
INJ,injective-protocol
DCR,decred
AR,arweave
KSM,kusama
BTG,bitcoin-gold
DFI,defichain
AUDIO,audius
GNO,gnosis-gno
ONE,menlo-one
SUSHI,sushiswap
WAVES,waves
GLM,golem-network-tokens
IOTX,iotex
JST,just
OCEAN,ocean-protocol
HIVE,hive-blockchain
KDA,kadena
BAND,band-protocol
SC,siacoin
ICX,icon
ONT,ontology
HNT,helium
IOST,iostoken
ZRX,0x
XYM,symbol
CHSB,swissborg
ELON,dogelon
CKB,nervos-network
RSR,reserve-rights
SKL,skale-network
ELF,aelf
LPT,livepeer
WAXP,wax
AMP,synereo
KEEP,keep-network
POLY,polymath-network
ILV,illuvium
RIF,rsk-infrastructure-framework
NXM,nxm
STORJ,storj
DGB,digibyte
CELR,celer-network
KNC,kyber-network
API3,api3
TEL,telcoin
ZEN,horizen
UMA,uma
LSK,lisk
OMI,ecomi
TRAC,origintrail
PLA,playdapp
LYXE,lukso
SYS,syscoin
RLC,rlc
PUNDIX,pundix-new
METIS,metisdao
TRIBE,tribe
COCOS,cocos-bcx
REN,ren
CFG,centrifuge
XNO,xeno-token
CVC,civic
NMR,numeraire
DENT,dent
EWT,energy-web-token
SCRT,secret
JOE,joe
CHR,chromia
SNT,status
VGX,voyager-token
PYR,vulcan-forged-pyr
DEXE,dexe
CTSI,cartesi
ONG,ontology-gas
REQ,request
REP,augur
MNW,morpheus-network
ANT,aragon
RAD,radicle
MBOX,mobox
ARDR,ardor
ORBS,orbs
STEEM,steem
POWR,power-ledger
ALPHA,alpha-finance-lab
DODO,dodo
COTI,coti
STPT,standard-tokenization-protocol
VTHO,vethor-token
BNT,bancor
ERG,ergo
PROM,prometeus
TRU,truefi-token
DUSK,dusk-network
POND,marlin
WIN,wink
NKN,nkn
PHA,phala-network
ABBC,abbc-coin
CQT,covalent
MTL,metal
STRAX,stratis
ALICE,myneighboralice
MDX,mdex
LOOM,loom-network
FUN,funtoken
LCX,lcx
QKC,quarkchain
PENDLE,pendle
RLY,rally
BFC,bifrost
VRA,verasity
UOS,ultra
YGG,yield-guild-games
SRM,serum
TLM,alien-worlds
WRX,wazirx
RACA,radio-caca
XYO,xyo
OXT,orchid
CTK,certik
REEF,reef
STMX,stormx
OGN,origin-protocol
ARPA,arpa-chain
BADGER,badger-dao
GHST,aavegotchi
SUN,sun-token
ATA,automata-network
LAT,platon
PERP,perpetual-protocol
KEY,key
MOVR,moonriver
IRIS,irisnet
SXP,swipe
NEST,nest-protocol
AERGO,aergo
LINA,lina
WAN,wanchain
XPRT,persistence
MBL,moviebloc
AMPL,ampleforth
CTXC,cortex
TOMO,tomochain
FORTH,ampleforth-governance-token
MXC,mxc
KLV,klever
VLX,velas
STRK,strike
SUPER,supercoin
UTK,utrust
UQC,uquid-coin
XVG,verge
RAY,raydium
LIT,litentry
LTO,lto-network
MLN,enzyme
MDT,measurable-data-token
POLS,polkastarter
DPI,defi-pulse-index
TLOS,telos
QUICK,quickswap
VELO,velo
WXT,wirex-token
YFII,yearn-finance-ii
RARE,superrare
